zone,gender,age,indigenous,fam_members,eapop,labcat,labbranch,firm_size,formality,work_hours,work_income,educ,poverty,job_tenure
urban,man,31,indigenous,4,1,selfemployed,construction,small,0,54,1800,12,notpoor,0.0833333
urban,woman,29,indigenous,4,1,employee,services,medium,1,48,2060,8,notpoor,1
urban,woman,11,indigenous,4,0,,,,,,,4,notpoor,
urban,man,9,indigenous,4,0,,,,,,,2,notpoor,
urban,man,46,indigenous,5,1,selfemployed,construction,small,0,54,2700,5,notpoor,0.0383583
urban,woman,44,indigenous,5,1,selfemployed,trade,small,0,60,3690,5,notpoor,15
urban,woman,23,indigenous,5,1,employee,manufacture,small,0,54,2500,12,notpoor,0.3333333
urban,woman,20,indigenous,5,1,employee,trade,small,0,54,1300,12,notpoor,0.3333333
urban,man,5,indigenous,5,0,,,,,,,0,notpoor,
urban,woman,40,indigenous,6,1,selfemployed,manufacture,small,0,48,1044.9,5,poor,10
urban,man,11,other,6,0,,,,,,,5,poor,
urban,man,6,other,6,0,,,,,,,1,poor,
urban,woman,20,indigenous,6,0,,,,,,,7,poor,
urban,man,5,other,6,0,,,,,,,0,poor,
urban,woman,1,other,6,0,,,,,,,,poor,
urban,man,39,other,6,1,employee,transportation,small,0,40,3000,12,notpoor,0.25
urban,woman,37,other,6,1,selfemployed,trade,small,0,24,8880,12,notpoor,5
urban,woman,14,other,6,0,,,,,,,8,notpoor,
urban,man,12,other,6,0,,,,,,,6,notpoor,
urban,man,11,other,6,0,,,,,,,4,notpoor,
urban,man,8,other,6,0,,,,,,,1,notpoor,
urban,woman,50,other,3,1,employee,services,,0,24,1600,3,poor,7
urban,woman,17,other,3,0,,,,,,,7,poor,
urban,man,14,other,3,0,,,,,,,4,poor,
urban,woman,51,indigenous,3,1,selfemployed,trade,small,0,48,3000,0,notpoor,10
urban,woman,17,indigenous,3,1,employee,trade,small,0,56,800,9,notpoor,3
urban,woman,11,other,3,0,,,,,,,5,notpoor,
urban,man,40,indigenous,6,1,employee,transportation,medium,0,45,2300,10,poor,15
urban,woman,36,indigenous,6,0,,,,,,,4,poor,
urban,woman,14,indigenous,6,0,,,,,,,7,poor,
urban,man,10,other,6,0,,,,,,,4,poor,
urban,man,9,other,6,0,,,,,,,3,poor,
urban,woman,8,other,6,0,,,,,,,2,poor,
urban,man,39,other,1,1,employee,trade,small,0,48,1621.667,6,notpoor,4
urban,man,60,other,2,0,,,,,,,5,notpoor,
urban,woman,59,other,2,0,,,,,,,3,notpoor,
urban,man,38,indigenous,8,1,selfemployed,construction,small,0,72,3000,3,poor,0.0833333
urban,woman,35,indigenous,8,0,,,,,,,0,poor,
urban,man,17,indigenous,8,0,,,,,,,9,poor,
urban,woman,13,indigenous,8,0,,,,,,,5,poor,
urban,woman,10,indigenous,8,0,,,,,,,3,poor,
urban,woman,5,indigenous,8,0,,,,,,,0,poor,
urban,woman,3,indigenous,8,0,,,,,,,,poor,
urban,woman,2,indigenous,8,0,,,,,,,,poor,
urban,man,38,other,4,1,employee,manufacture,large,1,48,5475.833,12,notpoor,2
urban,woman,37,other,4,1,selfemployed,services,small,0,50,1200,12,notpoor,4
urban,woman,17,other,4,0,,,,,,,10,notpoor,
urban,man,13,other,4,0,,,,,,,6,notpoor,
urban,man,42,indigenous,5,1,selfemployed,transportation,small,0,56,4470,8,notpoor,22
urban,woman,37,indigenous,5,1,selfemployed,trade,small,0,30,2850,7,notpoor,22
urban,man,20,other,5,1,employee,construction,small,0,48,2400,13,notpoor,0.0383583
urban,woman,16,other,5,0,,,,,,,11,notpoor,
urban,man,6,other,5,0,,,,,,,0,notpoor,
urban,man,46,other,4,0,,,,,,,7,notpoor,
urban,woman,37,other,4,1,selfemployed,trade,small,0,48,4260,6,notpoor,15
urban,man,12,other,4,0,,,,,,,6,notpoor,
urban,woman,7,other,4,0,,,,,,,1,notpoor,
urban,man,64,indigenous,4,1,employee,construction,small,0,48,2800,0,poor,0.1666667
urban,woman,58,indigenous,4,0,,,,,,,0,poor,
urban,man,24,indigenous,4,0,,,,,,,17,poor,
urban,man,18,indigenous,4,0,,,,,,,10,poor,
urban,man,32,other,5,1,employee,trade,small,0,48,2400,9,poor,10
urban,woman,29,other,5,0,,,,,,,8,poor,
urban,man,13,other,5,0,,,,,,,5,poor,
urban,man,10,other,5,0,,,,,,,3,poor,
urban,man,6,other,5,0,,,,,,,0,poor,
urban,woman,27,indigenous,4,1,selfemployed,manufacture,small,0,36,989,0,poor,2
urban,woman,12,indigenous,4,0,,,,,,,5,poor,
urban,man,9,indigenous,4,0,,,,,,,3,poor,
urban,woman,2,indigenous,4,0,,,,,,,,poor,
urban,woman,88,indigenous,3,0,,,,,,,0,notpoor,
urban,woman,17,indigenous,3,0,,,,,,,10,notpoor,
urban,man,13,indigenous,3,1,employee,trade,small,0,48,2400,4,notpoor,1
urban,woman,18,indigenous,2,1,employee,trade,small,0,42,1000,7,poor,0.1666667
urban,man,0,indigenous,2,0,,,,,,,,poor,
urban,man,59,other,2,1,selfemployed,services,small,0,20,600,6,poor,6
urban,woman,86,other,2,0,,,,,,,0,poor,
urban,man,27,indigenous,4,1,employee,construction,small,0,48,3360,8,notpoor,0.25
urban,woman,26,indigenous,4,0,,,,,,,16,notpoor,
urban,woman,8,indigenous,4,0,,,,,,,2,notpoor,
urban,woman,6,indigenous,4,0,,,,,,,0,notpoor,
urban,man,37,other,7,1,selfemployed,transportation,small,0,105,5850,8,notpoor,4
urban,woman,35,other,7,1,selfemployed,trade,small,0,30,1075,,notpoor,4
urban,man,15,other,7,0,,,,,,,9,notpoor,
urban,man,12,other,7,0,,,,,,,7,notpoor,
urban,man,8,other,7,0,,,,,,,1,notpoor,
urban,woman,6,other,7,0,,,,,,,0,notpoor,
urban,woman,88,other,7,0,,,,,,,0,notpoor,
urban,man,34,indigenous,7,1,unpaid,manufacture,small,0,28,0,4,poor,0.5
urban,woman,38,indigenous,7,1,selfemployed,manufacture,small,0,84,2040,3,poor,10
urban,man,18,other,7,0,,,,,,,11,poor,
urban,woman,13,other,7,0,,,,,,,7,poor,
urban,man,4,other,7,0,,,,,,,0,poor,
urban,woman,3,other,7,0,,,,,,,,poor,
urban,woman,1,other,7,0,,,,,,,,poor,
urban,man,55,other,2,1,unpaid,trade,small,0,78,0,1,poor,0.0575374
urban,woman,51,other,2,1,selfemployed,trade,small,0,25,600,2,poor,1
urban,man,43,indigenous,6,1,selfemployed,transportation,small,0,84,3180,4,notpoor,6
urban,woman,43,indigenous,6,1,employee,services,,0,30,833.3333,3,notpoor,2
urban,man,22,indigenous,6,1,selfemployed,transportation,small,0,15,3480,17,notpoor,3
urban,man,20,indigenous,6,0,,,,,,,14,notpoor,
urban,man,18,indigenous,6,1,employee,construction,small,0,24,1500,10,notpoor,0.0833333
urban,woman,4,indigenous,6,0,,,,,,,0,notpoor,
urban,man,37,indigenous,5,1,selfemployed,construction,small,0,48,4200,11,poor,0.3333333
urban,woman,36,indigenous,5,0,,,,,,,2,poor,
urban,woman,16,indigenous,5,0,,,,,,,9,poor,
urban,woman,15,indigenous,5,0,,,,,,,8,poor,
urban,man,8,indigenous,5,0,,,,,,,2,poor,
urban,man,31,indigenous,2,1,employee,services,small,0,48,2000,17,notpoor,8
urban,woman,31,indigenous,2,1,selfemployed,services,small,0,12,1500,17,notpoor,0.25
urban,man,70,indigenous,2,1,selfemployed,trade,small,0,70,3300,12,notpoor,10
urban,woman,75,indigenous,2,0,,,,,,,0,notpoor,
urban,man,53,indigenous,2,0,,,,,,,1,poor,
urban,woman,15,indigenous,2,0,,,,,,,8,poor,
urban,man,37,other,5,1,selfemployed,transportation,small,0,60,4500,6,notpoor,8
urban,woman,38,other,5,1,selfemployed,services,small,0,18,390,12,notpoor,1.5
urban,man,17,other,5,0,,,,,,,10,notpoor,
urban,woman,14,other,5,0,,,,,,,8,notpoor,
urban,woman,3,other,5,0,,,,,,,,notpoor,
urban,woman,33,indigenous,3,0,,,,,,,3,poor,
urban,man,9,other,3,0,,,,,,,2,poor,
urban,woman,4,other,3,0,,,,,,,0,poor,
urban,woman,23,indigenous,4,0,,,,,,,9,poor,
urban,man,28,indigenous,4,1,employee,construction,small,0,48,2400,15,poor,0.5
urban,woman,3,other,4,0,,,,,,,,poor,
urban,man,0,other,4,0,,,,,,,,poor,
urban,man,46,indigenous,5,1,employee,construction,medium,0,48,4500,5,notpoor,0.1666667
urban,woman,55,indigenous,5,1,selfemployed,trade,small,0,54,690,5,notpoor,15
urban,man,30,indigenous,5,1,employee,transportation,medium,0,50,2500,7,notpoor,0.25
urban,man,17,indigenous,5,0,,,,,,,10,notpoor,
urban,woman,14,indigenous,5,0,,,,,,,7,notpoor,
urban,man,23,other,3,1,employee,services,large,1,48,2409,16,notpoor,2
urban,woman,23,other,3,0,,,,,,,12,notpoor,
urban,woman,3,other,3,0,,,,,,,,notpoor,
urban,man,27,indigenous,2,1,selfemployed,transportation,small,0,60,3900,15,notpoor,2
urban,woman,22,other,2,0,,,,,,,14,notpoor,
urban,man,35,indigenous,7,1,selfemployed,trade,small,0,56,7500,4,notpoor,10
urban,woman,35,other,7,1,unpaid,trade,small,0,42,0,0,notpoor,10
urban,man,17,other,7,0,,,,,,,9,notpoor,
urban,woman,15,other,7,0,,,,,,,8,notpoor,
urban,man,13,other,7,0,,,,,,,6,notpoor,
urban,woman,10,other,7,0,,,,,,,4,notpoor,
urban,man,3,other,7,0,,,,,,,,notpoor,
urban,man,59,indigenous,5,1,selfemployed,manufacture,small,0,40,2470,3,poor,20
urban,woman,60,indigenous,5,0,,,,,,,0,poor,
urban,man,27,indigenous,5,1,employee,manufacture,small,0,24,1500,17,poor,0.1666667
urban,man,22,other,5,0,,,,,,,13,poor,
urban,woman,16,other,5,0,,,,,,,9,poor,
urban,man,63,indigenous,5,1,employee,services,large,1,40,3591.667,2,notpoor,5
urban,woman,60,indigenous,5,1,selfemployed,trade,small,0,77,4350,0,notpoor,30
urban,woman,32,other,5,1,employee,manufacture,medium,1,50,1950,17,notpoor,1
urban,man,23,indigenous,5,1,,,,0,,,12,notpoor,
urban,woman,20,indigenous,5,0,,,,,,,14,notpoor,
urban,woman,51,indigenous,5,1,employee,services,large,1,48,1790,3,poor,0.6666667
urban,woman,27,other,5,1,employee,services,,0,24,433.3333,16,poor,1
urban,man,25,other,5,1,employee,manufacture,small,0,48,1500,16,poor,1
urban,woman,21,other,5,1,employee,transportation,small,0,15,300,11,poor,0.5
urban,man,10,other,5,0,,,,,,,3,poor,
urban,man,30,other,5,1,employee,services,medium,1,44,2958.333,17,poor,2
urban,woman,28,other,5,0,,,,,,,12,poor,
urban,man,7,other,5,0,,,,,,,1,poor,
urban,man,6,other,5,0,,,,,,,0,poor,
urban,man,0,other,5,0,,,,,,,,poor,
urban,man,59,indigenous,4,0,,,,,,,4,poor,
urban,woman,59,other,4,0,,,,,,,3,poor,
urban,man,22,other,4,0,,,,,,,14,poor,
urban,man,20,other,4,0,,,,,,,11,poor,
urban,woman,36,indigenous,3,1,selfemployed,services,small,0,15,1100,17,poor,5
urban,woman,14,indigenous,3,0,,,,,,,7,poor,
urban,man,7,other,3,0,,,,,,,1,poor,
urban,man,48,other,5,1,,,,0,,,12,poor,
urban,woman,32,other,5,1,,,,0,,,12,poor,
urban,woman,8,other,5,0,,,,,,,2,poor,
urban,woman,3,other,5,0,,,,,,,,poor,
urban,woman,1,other,5,0,,,,,,,,poor,
urban,man,34,other,1,1,selfemployed,transportation,small,0,84,5370,17,notpoor,5
urban,woman,30,indigenous,4,1,employee,services,medium,1,40,4162.5,17,notpoor,5
urban,man,30,indigenous,4,1,employee,finance,medium,0,50,5003.333,17,notpoor,6
urban,woman,6,other,4,0,,,,,,,0,notpoor,
urban,man,0,other,4,0,,,,,,,,notpoor,
urban,man,43,indigenous,4,1,selfemployed,transportation,small,0,63,1250,4,notpoor,10
urban,woman,40,indigenous,4,0,,,,,,,1,notpoor,
urban,woman,23,indigenous,4,0,,,,,,,14,notpoor,
urban,woman,13,indigenous,4,0,,,,,,,7,notpoor,
urban,woman,42,indigenous,5,1,employee,trade,small,0,77,900,4,poor,0.1666667
urban,man,20,indigenous,5,1,selfemployed,construction,small,0,27.75,2250,12,poor,0.0575374
urban,man,10,indigenous,5,0,,,,,,,3,poor,
urban,man,6,indigenous,5,0,,,,,,,0,poor,
urban,man,2,indigenous,5,0,,,,,,,,poor,
urban,woman,32,other,2,1,employee,trade,small,0,18,1200,14,poor,6
urban,woman,15,other,2,0,,,,,,,7,poor,
urban,man,33,other,5,1,employee,services,large,1,50,4159,17,notpoor,0.9166667
urban,woman,35,other,5,1,selfemployed,services,small,0,54,1115,21,notpoor,2
urban,woman,11,other,5,0,,,,,,,4,notpoor,
urban,woman,4,other,5,0,,,,,,,0,notpoor,
urban,woman,4,other,5,0,,,,,,,0,notpoor,
urban,man,35,other,3,1,employee,services,medium,1,40,5352.167,17,notpoor,10
urban,woman,39,other,3,1,employee,services,medium,1,40,6009.083,17,notpoor,10
urban,woman,85,other,3,0,,,,,,,2,notpoor,
urban,man,44,other,4,1,employee,manufacture,large,1,44,6986.667,15,notpoor,10
urban,woman,44,other,4,1,employee,services,medium,1,20,3066.667,15,notpoor,10
urban,man,20,other,4,0,,,,,,,12,notpoor,
urban,man,14,other,4,0,,,,,,,9,notpoor,
urban,man,28,other,2,1,selfemployed,services,small,1,25,3600,15,notpoor,0.5
urban,woman,4,other,2,0,,,,,,,0,notpoor,
urban,woman,47,indigenous,4,1,selfemployed,trade,small,0,70,2040,2,poor,12
urban,woman,21,indigenous,4,0,,,,,,,14,poor,
urban,woman,19,indigenous,4,0,,,,,,,13,poor,
urban,man,17,indigenous,4,1,selfemployed,transportation,small,0,12,2970,9,poor,2
urban,woman,46,indigenous,5,0,,,,,,,0,notpoor,
urban,man,48,indigenous,5,1,employee,construction,small,0,48,3000,0,notpoor,0.25
urban,man,16,indigenous,5,1,employee,trade,small,0,60,800,10,notpoor,1
urban,man,13,other,5,1,employee,construction,small,0,48,645,4,notpoor,0.0383583
urban,woman,11,indigenous,5,0,,,,,,,4,notpoor,
urban,man,39,other,4,1,employee,manufacture,large,1,44,2466.667,12,notpoor,5
urban,woman,39,other,4,1,employee,manufacture,large,0,44,2466.667,17,notpoor,7
urban,man,10,other,4,0,,,,,,,4,notpoor,
urban,woman,1,other,4,0,,,,,,,,notpoor,
urban,man,34,indigenous,4,1,employee,services,medium,1,35,2733.333,12,notpoor,4
urban,woman,35,indigenous,4,1,employee,services,large,1,40,4201.667,17,notpoor,2
urban,man,13,other,4,0,,,,,,,6,notpoor,
urban,man,12,indigenous,4,0,,,,,,,5,notpoor,
urban,man,27,indigenous,5,1,employee,construction,small,0,48,3600,12,notpoor,0.3333333
urban,woman,27,indigenous,5,1,selfemployed,services,small,0,24,900,4,notpoor,4
urban,woman,10,indigenous,5,0,,,,,,,3,notpoor,
urban,woman,9,indigenous,5,0,,,,,,,2,notpoor,
urban,man,7,indigenous,5,0,,,,,,,0,notpoor,
urban,man,45,indigenous,8,0,,,,,,,4,poor,
urban,woman,48,indigenous,8,0,,,,,,,4,poor,
urban,woman,24,indigenous,8,0,,,,,,,16,poor,
urban,man,22,indigenous,8,0,,,,,,,15,poor,
urban,woman,19,indigenous,8,0,,,,,,,12,poor,
urban,woman,18,indigenous,8,0,,,,,,,11,poor,
urban,man,16,indigenous,8,0,,,,,,,9,poor,
urban,woman,14,indigenous,8,0,,,,,,,7,poor,
urban,man,25,other,1,1,employee,construction,small,0,48,2880,12,notpoor,1
urban,man,39,indigenous,5,1,selfemployed,services,small,0,27,2666,3,notpoor,11
urban,woman,36,indigenous,5,1,selfemployed,trade,small,0,98,6000,4,notpoor,5
urban,woman,14,other,5,0,,,,,,,7,notpoor,
urban,man,7,other,5,0,,,,,,,1,notpoor,
urban,man,4,other,5,0,,,,,,,0,notpoor,
urban,woman,24,indigenous,4,0,,,,,,,12,poor,
urban,man,27,indigenous,4,1,selfemployed,construction,small,0,48,3000,10,poor,0.0833333
urban,woman,6,indigenous,4,0,,,,,,,0,poor,
urban,woman,3,indigenous,4,0,,,,,,,,poor,
urban,man,25,indigenous,4,1,selfemployed,transportation,small,0,70,2700,12,poor,2
urban,woman,25,indigenous,4,0,,,,,,,6,poor,
urban,man,4,indigenous,4,0,,,,,,,0,poor,
urban,man,0,indigenous,4,0,,,,,,,,poor,
urban,man,46,indigenous,3,1,selfemployed,construction,small,0,60,2700,3,poor,0.1666667
urban,woman,47,indigenous,3,0,,,,,,,0,poor,
urban,man,11,indigenous,3,0,,,,,,,5,poor,
urban,woman,61,indigenous,2,0,,,,,,,0,notpoor,
urban,man,22,indigenous,2,1,employee,trade,medium,1,48,2000,10,notpoor,1
urban,man,48,other,2,1,selfemployed,construction,small,0,48,2160,12,notpoor,0.0833333
urban,woman,45,other,2,1,selfemployed,services,small,0,24,1500,10,notpoor,0.25
urban,man,26,indigenous,3,0,,,,,,,17,poor,
urban,woman,24,indigenous,3,0,,,,,,,17,poor,
urban,woman,3,other,3,0,,,,,,,,poor,
urban,man,29,other,3,1,,,,0,,,12,poor,
urban,woman,30,indigenous,3,0,,,,,,,12,poor,
urban,man,3,other,3,0,,,,,,,,poor,
urban,man,48,other,6,1,,,,0,,,3,poor,
urban,woman,48,indigenous,6,1,selfemployed,trade,small,0,48,1500,0,poor,3
urban,man,18,other,6,1,employee,manufacture,small,0,48,2625,11,poor,1
urban,woman,17,other,6,0,,,,,,,9,poor,
urban,woman,15,other,6,0,,,,,,,8,poor,
urban,woman,6,other,6,0,,,,,,,0,poor,
urban,woman,24,indigenous,2,0,,,,,,,14,notpoor,
urban,woman,31,indigenous,2,1,employee,services,medium,0,50,2000,17,notpoor,0.0833333
urban,man,64,other,3,1,selfemployed,agriculture,small,0,12,166.6667,0,notpoor,8
urban,woman,59,indigenous,3,1,employee,services,medium,1,48,2000,0,notpoor,0.1666667
urban,man,20,other,3,1,selfemployed,construction,small,0,48,2700,9,notpoor,0.1666667
urban,man,27,indigenous,3,1,selfemployed,manufacture,small,0,54,2130,9,poor,3
urban,woman,29,indigenous,3,1,unpaid,manufacture,small,0,56,0,17,poor,3
urban,man,6,other,3,0,,,,,,,0,poor,
urban,woman,73,indigenous,1,0,,,,,,,0,poor,
urban,woman,24,indigenous,2,0,,,,,,,15,notpoor,
urban,woman,1,other,2,0,,,,,,,,notpoor,
urban,man,21,other,3,1,selfemployed,transportation,small,0,70,1500,12,notpoor,2
urban,woman,22,other,3,1,employee,services,,0,42,1200,13,notpoor,0.0383583
urban,woman,3,other,3,0,,,,,,,,notpoor,
urban,man,76,indigenous,1,0,,,,,,,0,poor,
urban,woman,44,indigenous,2,1,employee,services,large,1,72,2450,5,notpoor,10
urban,man,21,indigenous,2,0,,,,,,,12,notpoor,
urban,woman,79,indigenous,2,1,selfemployed,agriculture,small,0,10.5,75,0,notpoor,10
urban,man,39,other,2,1,selfemployed,transportation,small,0,36,1620,,notpoor,0.5
urban,woman,18,indigenous,1,1,employee,trade,small,0,42,700,12,notpoor,0.4166667
urban,man,24,other,2,0,,,,,,,17,notpoor,
urban,woman,20,other,2,0,,,,,,,13,notpoor,
urban,man,26,other,4,1,employee,manufacture,medium,1,44,2497.75,21,notpoor,2
urban,woman,25,other,4,0,,,,,,,17,notpoor,
urban,man,22,other,4,0,,,,,,,14,notpoor,
urban,woman,20,other,4,0,,,,,,,12,notpoor,
urban,woman,37,other,3,1,selfemployed,trade,small,0,45,2850,3,notpoor,17
urban,woman,18,other,3,1,employee,trade,small,0,30,866.6667,12,notpoor,2
urban,man,6,other,3,0,,,,,,,0,notpoor,
urban,man,54,indigenous,2,1,employee,services,large,1,72,4400,5,notpoor,14
urban,woman,58,indigenous,2,1,selfemployed,services,small,0,20,3000,0,notpoor,5
urban,man,31,other,7,1,employee,services,medium,1,40,3741.667,13,notpoor,4
urban,woman,32,other,7,1,employee,services,medium,1,40,3286.667,17,notpoor,2
urban,woman,29,other,7,1,,,,0,,,17,notpoor,
urban,man,25,other,7,0,,,,,,,15,notpoor,
urban,woman,23,other,7,0,,,,,,,13,notpoor,
urban,man,21,other,7,0,,,,,,,12,notpoor,
urban,woman,57,other,7,1,selfemployed,trade,small,0,20,1740,8,notpoor,0.6666667
urban,man,38,other,5,1,selfemployed,trade,small,0,16,5000,12,notpoor,5
urban,woman,32,other,5,1,unpaid,trade,small,0,16,0,17,notpoor,5
urban,man,11,other,5,0,,,,,,,5,notpoor,
urban,woman,9,other,5,0,,,,,,,3,notpoor,
urban,man,5,other,5,0,,,,,,,0,notpoor,
urban,man,54,indigenous,2,0,,,,,,,17,poor,
urban,man,24,indigenous,2,0,,,,,,,13,poor,
urban,man,28,indigenous,4,1,selfemployed,manufacture,small,0,48,2950,14,poor,3
urban,woman,27,indigenous,4,1,,,,0,,,17,poor,
urban,woman,7,indigenous,4,0,,,,,,,1,poor,
urban,woman,3,indigenous,4,0,,,,,,,,poor,
urban,man,36,indigenous,4,1,employer,manufacture,small,0,48,3270,16,poor,5
urban,woman,30,indigenous,4,0,,,,,,,17,poor,
urban,woman,6,other,4,0,,,,,,,0,poor,
urban,man,3,other,4,0,,,,,,,,poor,
urban,man,65,indigenous,5,1,selfemployed,construction,small,0,60,2700,2,poor,0.0833333
urban,woman,61,indigenous,5,1,selfemployed,services,small,0,9,301,0,poor,20
urban,man,25,indigenous,5,0,,,,,,,16,poor,
urban,man,23,indigenous,5,0,,,,,,,15,poor,
urban,man,21,indigenous,5,0,,,,,,,13,poor,
urban,man,45,indigenous,4,1,selfemployed,transportation,small,0,84,2400,11,notpoor,0.5
urban,woman,43,indigenous,4,1,employee,services,large,1,36,2800.333,17,notpoor,7
urban,woman,19,indigenous,4,0,,,,,,,12,notpoor,
urban,woman,15,indigenous,4,0,,,,,,,8,notpoor,
